WEATHER,LOCATION,DATE,TAVG,TMAX,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/1/2000,40,54,26
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/2/2000,56,66,46
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/3/2000,59,65,52
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/4/2000,45,60,30
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/5/2000,28,32,24
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/6/2000,33,43,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/7/2000,33,40,26
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/8/2000,30,38,21
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/9/2000,41,48,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/10/2000,48,54,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/11/2000,40,47,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/12/2000,36,43,28
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/13/2000,28,39,17
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/14/2000,19,23,15
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/15/2000,27,39,15
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/16/2000,33,47,19
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/17/2000,14,19,8
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/18/2000,20,25,14
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/19/2000,26,29,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/20/2000,20,27,12
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/21/2000,20,33,7
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/22/2000,9,15,2
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/23/2000,23,31,14
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/24/2000,23,30,16
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/25/2000,16,20,12
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/26/2000,19,24,13
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/27/2000,12,17,6
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/28/2000,13,20,6
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/29/2000,21,33,8
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/30/2000,30,32,27
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/31/2000,24,27,21
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/1/2000,24,26,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/2/2000,21,27,15
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/3/2000,25,32,18
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/4/2000,29,32,25
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/5/2000,23,29,16
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/6/2000,26,31,21
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/7/2000,32,40,24
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/8/2000,25,35,15
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/9/2000,38,50,25
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/10/2000,42,51,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/11/2000,34,44,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/12/2000,27,36,17
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/13/2000,34,43,25
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/14/2000,37,47,27
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/15/2000,29,32,26
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/16/2000,38,48,27
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/17/2000,27,34,20
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/18/2000,33,37,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/19/2000,32,35,28
