WEATHER,LOCATION,DATE,TMAX,TAVG,TMIN
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/1/2010,,34,20
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/2/2010,,20,9
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/3/2010,,16,6
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/4/2010,,22,15
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/5/2010,,23,19
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/6/2010,,25,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/7/2010,,24,20
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/8/2010,,23,11
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/9/2010,,24,13
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/10/2010,,19,3
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/11/2010,,22,8
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/12/2010,,26,17
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/13/2010,,30,20
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/14/2010,,42,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/15/2010,,41,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/16/2010,,48,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/17/2010,,41,35
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/18/2010,,42,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/19/2010,,36,31
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/20/2010,,34,27
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/21/2010,,42,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/22/2010,,40,33
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/23/2010,,50,34
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/24/2010,,52,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/25/2010,,52,32
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/26/2010,,33,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/27/2010,,31,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/28/2010,,33,11
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/29/2010,,17,6
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/30/2010,,20,11
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",1/31/2010,,27,6
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/1/2010,,30,16
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/2/2010,,37,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/3/2010,,35,30
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/4/2010,,36,26
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/5/2010,,36,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/6/2010,,29,13
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/7/2010,,21,7
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/8/2010,,27,5
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/9/2010,,33,15
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/10/2010,,33,12
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/11/2010,,26,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/12/2010,,28,20
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/13/2010,,26,21
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/14/2010,,26,19
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/15/2010,,29,10
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/16/2010,,25,19
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/17/2010,,29,24
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/18/2010,,33,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/19/2010,,37,25
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/20/2010,,37,20
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/21/2010,,40,28
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/22/2010,,45,36
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/23/2010,,39,31
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/24/2010,,36,26
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/25/2010,,31,20
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/26/2010,,28,21
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/27/2010,,32,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",2/28/2010,,36,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/1/2010,,38,31
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/2/2010,,35,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/3/2010,,37,30
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/4/2010,,39,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/5/2010,,41,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/6/2010,,41,22
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/7/2010,,45,23
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/8/2010,,50,25
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/9/2010,,57,29
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/10/2010,,65,41
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/11/2010,,67,42
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/12/2010,,60,50
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/13/2010,,50,39
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/14/2010,,46,38
USW00014762,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",3/15/2010,,43,38
